Datetime,Confirmed,Recovered,Deceased
2020-01-29 00:00:00,0, 0, 0
2020-01-30 00:00:00,1, 0, 0
2020-01-31 00:00:00,1, 0, 0
2020-02-01 00:00:00,1, 0, 0
2020-02-02 00:00:00,2, 0, 0
2020-02-03 00:00:00,3, 0, 0
2020-02-04 00:00:00,3, 0, 0
2020-02-05 00:00:00,3, 0, 0
2020-02-06 00:00:00,3, 0, 0
2020-02-07 00:00:00,3, 0, 0
2020-02-08 00:00:00,3, 0, 0
2020-02-09 00:00:00,3, 0, 0
2020-02-10 00:00:00,3, 0, 0
2020-02-11 00:00:00,3, 0, 0
2020-02-12 00:00:00,3, 0, 0
2020-02-13 00:00:00,3, 0, 0
2020-02-14 00:00:00,3, 0, 0
2020-02-15 00:00:00,3, 0, 0
2020-02-16 00:00:00,3, 3, 0
2020-02-17 00:00:00,3, 3, 0
2020-02-18 00:00:00,3, 3, 0
2020-02-19 00:00:00,3, 3, 0
2020-02-20 00:00:00,3, 3, 0
2020-02-21 00:00:00,3, 3, 0
2020-02-22 00:00:00,3, 3, 0
2020-02-23 00:00:00,3, 3, 0
2020-02-24 00:00:00,3, 3, 0
2020-02-25 00:00:00,3, 3, 0
2020-02-26 00:00:00,3, 3, 0
2020-02-27 00:00:00,3, 3, 0
2020-02-28 00:00:00,3, 3, 0
2020-02-29 00:00:00,3, 3, 0
2020-03-01 00:00:00,3, 3, 0
2020-03-02 00:00:00,5, 3, 0
2020-03-03 00:00:00,6, 3, 0
2020-03-04 00:00:00,28, 3, 0
2020-03-05 00:00:00,30, 3, 0
2020-03-06 00:00:00,31, 3, 0
2020-03-07 00:00:00,34, 3, 0
2020-03-08 00:00:00,39, 3, 0
2020-03-09 00:00:00,44, 3, 0
2020-03-10 00:00:00,50, 4, 0
2020-03-11 00:00:00,60, 4, 1
2020-03-12 00:00:00,73, 4, 1
2020-03-13 00:00:00,81, 4, 2
2020-03-14 00:00:00,84, 4, 2
2020-03-15 00:00:00,110, 13, 2
2020-03-16 00:00:00,114, 13, 2
2020-03-17 00:00:00,137, 14, 3
2020-03-18 00:00:00,142, 14, 3
2020-03-19 00:00:00,149, 15, 3
2020-03-20 00:00:00,244, 20, 5
2020-03-21 00:00:00,283, 23, 4
2020-03-22 00:00:00,360, 27, 7
2020-03-23 00:00:00,415, 27, 10
2020-03-24 00:00:00,511, 40, 10
2020-03-25 00:00:00,562, 43, 12
2020-03-26 00:00:00,680, 45, 20
2020-03-27 00:00:00,887, 73, 20
2020-03-28 00:00:00,987, 84, 24
2020-03-29 00:00:00,1024, 95, 27
2020-03-30 00:00:00,1071, 100, 29
2020-03-31 00:00:00,1251, 102, 32
2020-04-01 00:00:00,1590, 148, 45
2020-04-02 00:00:00,2032, 148, 58
2020-04-03 00:00:00,2567, 192, 72
2020-04-04 00:00:00,3082, 229, 86
2020-04-05 00:00:00,3588, 229, 99
2020-04-06 00:00:00,4314, 328, 118
2020-04-07 00:00:00,4858, 382, 136
2020-04-08 00:00:00,5360, 468, 164
2020-04-09 00:00:00,5916, 506, 178
2020-04-10 00:00:00,7600, 645, 249
2020-04-11 00:00:00,8446, 840, 288
2020-04-12 00:00:00,9205, 951, 331
2020-04-13 00:00:00,10453, 1052, 358
2020-04-14 00:00:00,10541, 1205, 358
2020-04-15 00:00:00,11015, 1356, 380
2020-04-16 00:00:00,12456, 1513, 423
2020-04-17 00:00:00,13430, 1768, 448
2020-04-18 00:00:00,15722, 2463, 521
2020-04-19 00:00:00,17615, 2854, 559
2020-04-20 00:00:00,17615, 3273, 559
2020-04-21 00:00:00,18658, 3273, 592
2020-04-22 00:00:00,20471, 3976, 652
2020-04-23 00:00:00,21797, 4376, 686
2020-04-24 00:00:00,24530, 5498, 780
2020-04-25 00:00:00,26283, 5939, 825
2020-04-26 00:00:00,26496, 5939, 825
2020-04-27 00:00:00,27977, 6523, 884
2020-04-28 00:00:00,29451, 7137, 939
2020-04-29 00:00:00,31332, 7747, 1008
2020-04-30 00:00:00,33062, 8437, 1079
2020-05-01 00:00:00,35043, 9068, 1154
2020-05-02 00:00:00,37336, 10007, 1223
2020-05-03 00:00:00,39980, 10819, 1323
2020-05-04 00:00:00,42670, 11782, 1395
2020-05-05 00:00:00,46476, 12849, 1571
2020-05-06 00:00:00,49436, 14183, 1695
2020-05-07 00:00:00,53045, 15331, 1787
2020-05-08 00:00:00,56516, 16867, 1895
2020-05-09 00:00:00,59765, 17897, 1986
2020-05-10 00:00:00,62939, 19358, 2109
2020-05-11 00:00:00,67259, 20969, 2212
2020-05-12 00:00:00,70827, 22549, 2294
2020-05-13 00:00:00,74480, 24453, 2415
2020-05-14 00:00:00,78194, 26400, 2551
2020-05-15 00:00:00,82103, 27977, 2659
2020-05-16 00:00:00,90615, 34220, 2871
2020-05-17 00:00:00,90927, 34224, 2872
2020-05-18 00:00:00,96169, 36824, 3029
2020-05-19 00:00:00,101261, 39233, 3164
2020-05-20 00:00:00,106886, 42309, 3303
2020-05-21 00:00:00,112442, 45422, 3438
2020-05-22 00:00:00,124073, 51307, 3707
2020-05-23 00:00:00,131442, 54409, 3867
2020-05-24 00:00:00,138535, 57694, 4023
2020-05-25 00:00:00,139049, 57721, 4024
2020-05-26 00:00:00,145584, 60491, 4170
2020-05-27 00:00:00,151971, 64426, 4340
2020-05-28 00:00:00,158527, 67692, 4534
2020-05-29 00:00:00,166003, 71106, 4709
2020-05-30 00:00:00,173967, 82370, 4974
2020-05-31 00:00:00,182347, 86984, 5167
2020-06-01 00:00:00,190739, 91819, 5397
2020-06-02 00:00:00,198910, 95527, 5601
2020-06-03 00:00:00,207819, 100303, 5818
2020-06-04 00:00:00,217123, 104107, 6078
2020-06-05 00:00:00,226974, 109462, 6351
